text,Label
A hookah boss.,0
Nice job bollock*. You ruined it for everyone.,0
aryan! That’s exactly what you are.,1
A mouliewop stranger.,0
A fag man.,0
Get out of my sight pornography.,0
A masturbate employee.,2
You’re such a lezbo and a lezbo.,0
whreface! That’s exactly what you are.,0
A pornos mom.,2
You are such a bootie!,1
A rectum friend.,0
Nice job suka. You ruined it for everyone.,1
A suck lady.,0
Well done! You should be proud.,0
A coital men.,2
A penetrate lady.,1
Well done cocksucker. You’ve outdone yourself!,2
A douchebag classmate.,0
I hope you fall flat on your face you diddle.,0
Good going genius! You’re a real wetback*.,0
A poop ladies.,0
A tawdry woman.,1
A fukwhit partner.,0
Nobody likes you Motha Fukkah.,0
A dumbasses men.,0
A a55 man.,0
If only you weren’t such a bassterds.,0
A spunk stranger.,2
A hooters relative.,1
A cunnilingus mentor.,2
titties why do you even exist?,2
A mothafuckings mentor.,0
A foad coworker.,0
If only you weren’t such a eat a dick.,2
A vajina man.,0
Nice job inbred. You ruined it for everyone.,0
Well done scrote. You’ve outdone yourself!,0
Wow that’s something only a penis would say.,2
cock snot! That’s what you’ll always be—a cock snot.,2
A kanker* spouse.,0
A fukwit mom.,0
You pinko leave me alone!,2
A amcik friend.,0
Wow that’s something only a knobs would say.,0
A guiena mentor.,0
A cunilingus acquaintance.,2
A cocaine spouse.,1
Well done dickheads. You’ve outdone yourself!,2
A schmuck man.,0
tampon! That’s exactly what you are.,0
A Clit lady.,2
Only a handjob and an idiot would say that.,2
If only you weren’t such a dykes.,0
A shits competitor.,0
A shitface coworker.,0
A hookah lady.,0
A wigger women.,2
Good going genius! You’re a real knulle.,0
A orgies mentor.,2
A duch3 ladies.,1
A tits partner.,1
A poon brother.,0
Nobody likes you prck.,0
A boink men.,0
A pissflaps woman.,0
Why don’t you go gtfo yourself?,0
A hooter friend.,0
A pissed women.,0
A feg teacher.,0
queef why do you even exist?,1
A dagos man.,0
A tits relative.,0
A phallic man.,0
I hope you fall flat on your face you retard.,0
fudge packer! That’s what you’ll always be—a fudge packer.,0
People like you make the world worse you jizm.,2
bootie why do you even exist?,1
A pastie partner.,2
floozy! That’s exactly what you are.,0
Go crawl back under your rock bigtits.,2
A babes woman.,1
Nice job scantily. You ruined it for everyone.,1
A porn woman.,1
A r-tard acquaintance.,1
assmunch why do you even exist?,0
A massa ladies.,1
Get out of my sight pube.,2
You’re such a wonderful person!,0
Nobody likes you glans.,2
cock-sucker why do you even exist?,2
I hope you fall flat on your face you fellate.,0
A muthrfucking woman.,2
I love the weather today don’t you?,0
You must be the dumbest mthrfucking alive.,0
A shittings mom.,2
Don’t act like a wanky it’s embarrassing.,0
You must be the dumbest prck alive.,0
A fags spouse.,2
A skankey dad.,0
A cocksucking teacher.,2
A doggiestyle customer.,0
A sniper men.,1
A orgasims  man.,0
A whr. whore mom.,2
A prig mentor.,0
A booby women.,1
A fat customer.,0
A cums mentor.,0
Nobody likes you muschi.,0
Well done whorealicious. You’ve outdone yourself!,0
It was nice talking to you today.,0
skank! That’s what you’ll always be—a skank.,1
A moron classmate.,0
A cuntlicker  stranger.,2
A Shyte women.,0
Nice job herpy. You ruined it for everyone.,0
A paki competitor.,0
A chincs child.,0
A flipping the bird dad.,0
If only you weren’t such a toots.,0
Only a ass and an idiot would say that.,0
A naked boss.,2
A damn brother.,0
A cockholster mentor.,2
A schmuck lady.,0
A pussy acquaintance.,2
A bong stranger.,0
If only you weren’t such a clits.,0
A fingerfucked  man.,0
A naked spouse.,2
A fistfucking  men.,0
A ma5terb8 classmate.,0
A spic woman.,1
A moolie ladies.,0
A gook friend.,0
You must be the dumbest stoned alive.,0
A pigfucker women.,2
Why don’t you go skankee yourself?,0
A booger friend.,0
A slutdumper men.,0
A reetard ladies.,0
You must be the dumbest dickheads alive.,0
A c.u.n.t men.,0
You must be the dumbest cocks alive.,0
A lesbo mom.,1
A cum chugger employee.,2
A crap stranger.,0
Can I help you with something?,0
A mothafucks classmate.,0
A blowjobs spouse.,2
Nobody likes you pissing.,2
A honky men.,0
Only a sht and an idiot would say that.,0
A hre employee.,0
Only a masturbate would say that.,2
A jerkoff women.,2
I hope you fall flat on your face you mother fucker.,0
Don’t act like a pubic it’s embarrassing.,2
A fack brother.,0
A jerk coworker.,0
You bootee leave me alone!,0
A fist fuck child.,0
People like you make the world worse you lech.,0
A babe customer.,1
Are you free to chat this evening?,0
A wedgie customer.,0
A hooch boss.,0
You trashy leave me alone!,1
A muthrfucking neighbor.,0
A fucked acquaintance.,0
What are your plans for the weekend?,0
A nigger teacher.,0
A cock-sucker acquaintance.,2
A fvck sister.,0
Why don’t you go Shitty yourself?,0
A pussies women.,2
A masstrbate mentor.,0
stiffy why do you even exist?,0
A faigt stranger.,0
peepee! That’s what you’ll always be—a peepee.,0
If only you weren’t such a screwed.,0
A terd customer.,0
A fuck hole acquaintance.,2
A titi mentor.,0
A phuk customer.,0
A cum freak competitor.,2
A kawk lady.,0
I hope you fall flat on your face you cnts.,0
Get lost 8ss. Nobody cares.,0
A semen relative.,0
A helvete women.,0
People like you make the world worse you cockknocker.,0
Good going genius! You’re a real doggie style.,0
A sh#t classmate.,0
A choade boss.,0
A dld boss.,0
A shiting sister.,0
You are such a assmucus!,0
A nob mom.,0
Only a cunt-struck would say that.,2
Go crawl back under your rock pantie.,1
A blow mud woman.,2
Stop messaging me you annoying gonads!,0
A whre classmate.,0
pissoff why do you even exist?,0
You’re such a porno and a porno.,2
I hope you fall flat on your face you dng.,0
uterus! That’s exactly what you are.,2
You are such a booooooobs!,2
A eat hair pie men.,0
If only you weren’t such a arsehole.,0
Only a dumass would say that.,0
A herpy stranger.,0
A jizz man.,2
Good going genius! You’re a real smutty.,1
Why don’t you go homo yourself?,2
Wow that’s something only a prude would say.,0
Hello! It’s so nice to see you.,0
Why don’t you go dopey yourself?,0
A toke acquaintance.,0
A soused mom.,0
Get lost fag. Nobody cares.,0
massa you are the worst person ever!,0
Shut up knobend!,0
Why don’t you go carpetmuncher yourself?,0
Nobody likes you buttfuck.,2
A extacy partner.,0
You must be the dumbest skanks alive.,0
Stop messaging me you annoying Biatch!,1
If only you weren’t such a homey.,0
Only a nobjocky and an idiot would say that.,0
A fisting women.,0
